datum,vizszint,kut_nev,torzsszam
2025-01-12,5.96,Sátorhely,4576
2025-01-12,5.96,Sátorhely,4576
2025-01-12,5.96,Sátorhely,4576
2025-01-12,5.96,Sátorhely,4576
2025-01-12,5.96,Sátorhely,4576
2025-01-12,5.97,Sátorhely,4576
2025-01-13,5.97,Sátorhely,4576
2025-01-13,5.97,Sátorhely,4576
2025-01-13,5.97,Sátorhely,4576
2025-01-13,5.97,Sátorhely,4576
2025-01-13,5.97,Sátorhely,4576
2025-01-13,5.97,Sátorhely,4576
2025-01-14,5.97,Sátorhely,4576
2025-01-14,5.97,Sátorhely,4576
2025-01-14,5.97,Sátorhely,4576
2025-01-14,5.97,Sátorhely,4576
2025-01-14,5.96,Sátorhely,4576
2025-01-14,5.96,Sátorhely,4576
2025-01-15,5.96,Sátorhely,4576
2025-01-15,5.95,Sátorhely,4576
2025-01-15,5.95,Sátorhely,4576
2025-01-15,5.95,Sátorhely,4576
2025-01-15,5.95,Sátorhely,4576
2025-01-15,5.95,Sátorhely,4576
2025-01-16,5.95,Sátorhely,4576
2025-01-16,5.95,Sátorhely,4576
2025-01-16,5.95,Sátorhely,4576
2025-01-16,5.95,Sátorhely,4576
2025-01-16,5.95,Sátorhely,4576
2025-01-16,5.96,Sátorhely,4576
2025-01-17,5.96,Sátorhely,4576
2025-01-17,5.95,Sátorhely,4576
2025-01-17,5.95,Sátorhely,4576
2025-01-17,5.95,Sátorhely,4576
2025-01-17,5.95,Sátorhely,4576
2025-01-17,5.95,Sátorhely,4576
2025-01-18,5.95,Sátorhely,4576
2025-01-18,5.94,Sátorhely,4576
2025-01-18,5.94,Sátorhely,4576
2025-01-18,5.94,Sátorhely,4576
2025-01-18,5.94,Sátorhely,4576
2025-01-18,5.94,Sátorhely,4576
2025-01-19,5.93,Sátorhely,4576
2025-01-19,5.93,Sátorhely,4576
2025-01-19,5.93,Sátorhely,4576
2025-01-19,5.93,Sátorhely,4576
2025-01-19,5.93,Sátorhely,4576
2025-01-19,5.92,Sátorhely,4576
2025-01-20,5.92,Sátorhely,4576
2025-01-20,5.92,Sátorhely,4576
2025-01-20,5.92,Sátorhely,4576
2025-01-20,5.92,Sátorhely,4576
2025-01-20,5.92,Sátorhely,4576
2025-01-20,5.91,Sátorhely,4576
2025-01-21,5.91,Sátorhely,4576
2025-01-21,5.91,Sátorhely,4576
2025-01-21,5.91,Sátorhely,4576
2025-01-21,5.9,Sátorhely,4576
2025-01-21,5.9,Sátorhely,4576
2025-01-21,5.9,Sátorhely,4576
2025-01-22,5.9,Sátorhely,4576
2025-01-22,5.9,Sátorhely,4576
2025-01-22,5.9,Sátorhely,4576
2025-01-22,5.9,Sátorhely,4576
2025-01-22,5.89,Sátorhely,4576
2025-01-22,5.89,Sátorhely,4576
2025-01-23,5.89,Sátorhely,4576
2025-01-23,5.89,Sátorhely,4576
2025-01-23,5.88,Sátorhely,4576
